[-0.034385253, 1.3154237]
[1.7864853, 1.4020572]
[0.42228168, -0.96766126]
[-2.3934872, 1.196797]
[-0.5636689, -2.2625723]
[0.9570889, 0.10881704]
[-1.6855177, -0.4564405]
[-0.2640799, 0.5132176]
[-2.1313689, -0.4441816]
[-0.89446616, -1.1163778]
[-0.99916154, -0.00475014]
[-0.23042046, 2.9398556]
[-0.17479935, 0.18181592]
[1.5793905, -0.606424]
[-1.7979593, -0.28983834]
[-0.592962, -0.8198064]
[0.605027, 0.20422757]
[-0.9410333, 0.5794711]
[0.37895966, 0.95813835]
[-1.1740445, -1.0235684]
[0.5278466, -0.8604072]
[1.9826624, 1.5629947]
[-1.0982112, -1.1079813]
[-2.4925764, 1.3302213]
[0.2201142, 0.7432005]
[0.42458627, 0.3644092]
[-0.92129284, -2.5863724]
[-0.20307662, 0.43745136]
[-0.3195102, -0.25154662]
[-1.2467119, 2.207004]
[0.14133509, -0.12444203]
[-1.0561105, 0.7451608]
[1.5094095, -1.0256816]
[-0.7058049, -0.7260851]
[1.0909064, 1.5890247]
[0.25116095, 2.4377751]
[0.40051273, 0.9389523]
[1.2932703, 1.7578001]
[0.24713172, -0.22012573]
[1.6324614, -0.82770985]
[-1.4828999, -0.043510966]
[-0.8337772, 0.35537225]
[-2.3779216, -2.5013895]
[-1.3195895, -1.1414456]
[-0.34668708, 0.08966207]
[-1.0177408, -1.7795992]
[-0.67916816, 0.14900288]
[-0.23800148, 1.8418851]
[-0.7859228, -0.08026892]
[-0.31082433, 0.34424037]
[0.059163447, 0.20193574]
[2.1453, 0.95738614]
[-0.09724325, -0.80956197]
[-1.0427164, 0.05302412]
[-0.43687117, -1.251726]
[-0.73165, 0.4557391]
[2.069529, 0.33814797]
[-1.2089756, -1.3308872]
[0.28501782, -1.2483926]
[-1.7726862, 0.8769792]
[0.50215554, -0.49234042]
[-1.1465508, 2.0984569]
[0.5070592, 1.1358371]
[4.1205616, 0.5356117]
[0.22298245, -0.47887355]
[-0.33716062, 3.120141]
[0.5422636, 1.2240765]
[-1.4711305, 0.27971676]
[1.6917169, 0.32416368]
[1.1560463, 0.9955132]
[0.1972803, 0.13031362]
[-0.80299944, 1.561465]
[-1.7741437, -0.08078081]
[1.9016254, -0.8637584]
[-0.31952152, 0.12918401]
[1.3576138, 1.5094002]
[0.31051058, 0.14264612]
[-1.5693436, 0.61138225]
[-1.3736081, 0.53549117]
[-0.99647605, 1.7094921]
[0.657185, 0.9462438]
[1.3235134, 1.491112]
[0.661767, 0.28906772]
[1.6605299, -0.62928456]
[-0.18163297, -0.91483265]
[-0.89755094, 0.3898477]
[-0.22241263, 0.012181334]
[-0.64376837, -0.99095535]
[2.180944, 0.28943536]
[-0.6860948, 2.3393784]
[1.5851911, -0.5440517]
[-0.59288424, 1.3368796]
[0.59635806, -1.6366282]
[0.48302975, 1.0497754]
[-0.7502445, 0.363984]
[1.3286941, 1.4772254]
[-2.0536258, -1.7240092]
[-0.8272329, 0.44408923]
[-0.9200649, -0.06988662]
[-2.7915838, 0.7069341]
[-0.2584895, 1.2031703]
[-0.4606351, 1.2204813]
[-1.760427, -0.22896883]
[-0.45637947, -0.90523005]
[-2.099404, -0.6977681]
[-1.485835, 0.5063046]
[1.7507105, -0.5241462]
[-0.2893202, 0.4224497]
[1.5304297, 0.24506977]
[0.4699227, -0.18493235]
[0.81787336, -1.6400745]
[-0.17909059, 0.5731391]
[-2.4129367, -0.06277494]
[-1.4679879, 0.7579426]
[1.6824635, 0.6060102]
[-0.8111367, -1.3266541]
[-0.23860289, -1.656688]
[0.87822276, -0.010651927]
[1.5145303, 1.1669041]
[2.0686927, 1.9022869]
[-0.46156964, -0.3440599]
[1.756013, 0.57959294]
[0.5570593, 0.058134876]
[-0.7063096, 1.3323175]
[-1.9232904, 0.056472942]
[-0.90814763, 0.30715215]
[1.9732438, -0.49317726]
[-0.7548873, 2.9133239]
[-1.3398497, -0.011686228]
[0.48055837, 1.3056452]
[-0.31196547, 0.1962578]
[-1.1450431, 2.516899]
[-1.1193085, 0.0006068498]
[-1.7214619, -1.8926502]
[1.3637278, -1.9283321]
[-0.27806634, 0.41427124]
[-0.3336137, 0.090248674]
[-1.007463, 0.3977004]
[0.8354261, 1.0828317]
[-0.9534173, -1.2428042]
[-1.4827613, -0.9440352]
[-1.1145489, 1.751988]
[-0.88642025, -1.7203007]
[0.3746403, -0.13429266]
[-0.5716552, 0.073089056]
[-0.19496714, 2.6464987]
[-0.84093475, 0.597538]
[1.7896316, -0.9520564]
[-1.0207546, -1.485429]
[-0.19384713, 0.2711473]
[-0.028850913, -0.34674633]
[1.7225509, -0.70665467]
[-1.5806056, 0.14289674]
[-1.2010044, -1.1187085]
[-0.088159546, -1.3046484]
[0.51276016, 1.2109658]
[2.4227958, 0.97464347]
[-0.3080279, 0.46180564]
[0.7661987, -0.90771]
[1.0080838, 0.06245769]
[-0.671113, -0.042138867]
[-0.28474188, 0.49689084]
[-0.3318374, -2.3809214]
[-1.2080988, 2.7166972]
[0.52142346, -1.0507531]
[1.87982, -0.8580461]
[-1.0262009, -1.345158]
[-0.58705014, -1.0527551]
[-1.0258683, -0.6724542]
[1.208218, 1.3962526]
[0.06858879, -1.9185079]
[0.8008738, 0.016544562]
[-0.1822866, -1.3291683]
[-0.023027483, 3.412775]
[-2.3426516, 0.05448863]
[-0.111216545, 2.5698562]
[-0.09426883, -3.7131863]
[-1.3505377, 0.48693377]
[0.83842665, 0.48752397]
[-0.29934928, 0.5720691]
[-1.1800481, 0.043873377]
[-0.69767296, 0.7026789]
[-0.051678956, 0.2710968]
[-0.9347003, -1.4721528]
[-1.7492305, -0.3862293]
[-0.32449844, -0.6548621]
[1.0333892, -0.89535415]
[0.5972114, -0.007961797]
[-0.5978528, -0.22093216]
[0.6857026, -0.06480034]
[0.5579259, -0.011596562]
[-0.2464885, 2.6624317]
[1.4672936, 1.1776831]
[-0.59167975, 1.3951697]
[0.34269577, -1.5396868]
[-0.7316495, -0.8774094]
[0.19432487, -1.1280882]
[-0.98584425, 0.54307294]
[-0.38807777, 0.038373254]
[0.90890026, 0.020106196]
[-1.5624617, -0.41914085]
[-2.351071, 1.3263155]
[-0.95431006, 0.50671446]
[-0.26431447, 0.49561578]
[1.5176541, -1.1959295]
[-1.6100258, 0.8083857]
[2.260006, 0.5852884]
[-0.7844785, 0.8850231]
[-2.4557273, 0.2075922]
[1.742035, 0.4691851]
[2.8511982, 0.043797836]
[-1.4326663, 0.12496224]
[-1.5226772, -3.622692]
[0.8264784, 0.16132084]
[0.020898487, -0.92120445]
[-0.2858135, 0.40363908]
[1.1478289, 1.1891017]
[-0.26941115, -1.8176668]
[1.2412822, -0.76340395]
[0.10956447, 1.6859461]
[0.44768468, 0.36514556]
[1.3856765, -0.48217842]
[0.47081923, -0.7490543]
[-0.49216568, -0.9355766]
[-0.7718868, 0.36178982]
[-0.910315, 0.55105895]
[0.67334044, -3.0604076]
[-1.3671185, -1.8724049]
[1.3548175, -1.8351605]
[1.908234, 0.36988974]
[-0.575832, -0.7312295]
[-1.5299578, 0.1436097]
[1.0407518, 1.2054168]
[0.49573597, 0.57733977]
[1.4608153, 1.1161517]
[0.11526878, 0.4577809]
[-0.18440418, 1.5495399]
[-0.31166488, -1.6729642]
[1.329258, -0.7096381]
[0.11014332, 2.084353]
[-0.92693627, 0.12706505]
[1.1042098, -0.37160808]
[0.020548154, 0.39579698]
[-0.4232065, -0.9672585]
[-0.18230078, 0.26457542]
[-0.88587135, 0.51781183]
[1.9196426, 0.38429385]
[-1.4417835, -1.7082151]
[-1.5186712, -0.45165616]
[1.7112103, 0.39164615]
[0.177658, -0.10359047]
[-1.3867322, 0.22267386]
[0.35840344, -0.00047933683]
[0.8586983, 0.46154264]
[-0.0054300986, 0.13818529]
[0.14469065, 0.4798594]
[-1.1539736, 0.2549497]
[-0.75501364, -1.4801296]
[-2.0175574, -1.1535689]
[0.17950197, 2.369492]
[1.1938293, 0.27823856]
