[-0.07004498, 1.2499578]
[1.7162946, 1.3912061]
[0.4382497, -0.99158216]
[-2.3821933, 1.2703829]
[-0.401825, -2.5033374]
[0.9191803, 0.09757882]
[-1.6120472, -0.42312208]
[-0.26909944, 0.5084541]
[-2.1094515, -0.47426364]
[-0.87726164, -1.1499228]
[-1.0039531, 0.0011830647]
[-0.24659719, 2.9226077]
[-0.17728567, 0.18731512]
[1.5590184, -0.62025476]
[-1.7585557, -0.2617617]
[-0.54232067, -0.8193662]
[0.5648504, 0.21653688]
[-0.9533736, 0.6171285]
[0.35893705, 0.95302546]
[-1.187562, -1.0315813]
[0.55332553, -0.8750368]
[1.9670391, 1.599624]
[-1.0834564, -1.1573844]
[-2.358785, 1.568909]
[0.23253816, 0.69759053]
[0.39789256, 0.3643883]
[-0.70040905, -3.0150554]
[-0.20899573, 0.4452079]
[-0.30967754, -0.24226353]
[-1.3409579, 2.1746933]
[0.13657902, -0.12172118]
[-1.0869155, 0.75820565]
[1.4874831, -0.9540119]
[-0.6708858, -0.6751119]
[1.0385077, 1.5909429]
[0.15402216, 2.3745515]
[0.36120775, 0.9328498]
[1.2457609, 1.7762022]
[0.23347639, -0.20426004]
[1.6297282, -0.8513913]
[-1.4764514, -0.0483606]
[-0.81016123, 0.3948421]
[-2.419496, -2.8881736]
[-1.3478336, -1.056677]
[-0.33459002, 0.1005743]
[-0.89736414, -1.8463354]
[-0.64015263, 0.20955461]
[-0.28973973, 1.752522]
[-0.74454594, -0.08308964]
[-0.2984305, 0.35679325]
[0.061785847, 0.22650601]
[2.05252, 0.86722815]
[-0.06944168, -0.8048816]
[-1.0173209, 0.08729416]
[-0.35184184, -1.3630315]
[-0.7141432, 0.49684593]
[2.031771, 0.34575436]
[-1.2410372, -1.4558212]
[0.31356895, -1.2561345]
[-1.8476248, 0.96141803]
[0.53822947, -0.4862568]
[-1.1515595, 2.155877]
[0.42945462, 1.1256338]
[3.8769898, 0.43776295]
[0.24333633, -0.5103775]
[-0.3728788, 3.0527844]
[0.48361626, 1.2247003]
[-1.5038624, 0.3274046]
[1.5751405, 0.33912537]
[1.117646, 1.017025]
[0.19584942, 0.119667396]
[-0.8191068, 1.5023646]
[-1.73472, -0.0358384]
[1.8833059, -0.8670618]
[-0.32568815, 0.12948126]
[1.3471997, 1.5236238]
[0.30012146, 0.16292511]
[-1.5354311, 0.6838628]
[-1.4000235, 0.5875511]
[-1.0049112, 1.636849]
[0.62952155, 0.9176691]
[1.2614112, 1.5101802]
[0.62159187, 0.2765239]
[1.6380117, -0.58989775]
[-0.1011934, -0.95812356]
[-0.88759077, 0.42487043]
[-0.1805439, 0.02343225]
[-0.653854, -1.0777773]
[2.1963189, 0.24033366]
[-0.6950555, 2.2657497]
[1.5196216, -0.52785546]
[-0.6072852, 1.2949439]
[0.56669945, -1.6440644]
[0.39198577, 1.0316591]
[-0.75614697, 0.42537767]
[1.307155, 1.5322081]
[-2.2250795, -1.6591076]
[-0.7851102, 0.50274915]
[-0.9388698, -0.06027714]
[-2.8176768, 0.74819136]
[-0.31860575, 1.134188]
[-0.5110533, 1.1278697]
[-1.6978265, -0.26045054]
[-0.4381571, -0.92468476]
[-2.158677, -0.7084604]
[-1.5311205, 0.579134]
[1.75912, -0.49495324]
[-0.30383557, 0.44845396]
[1.4509954, 0.26156133]
[0.43559685, -0.17384678]
[0.7710677, -1.6152585]
[-0.21050888, 0.5656806]
[-2.5139918, -0.057024274]
[-1.4488447, 0.8483568]
[1.598428, 0.5530165]
[-0.7804689, -1.4106658]
[-0.14728677, -1.7495075]
[0.8422642, 0.012158776]
[1.4900408, 1.1926733]
[2.0913088, 1.9588583]
[-0.46603143, -0.32979795]
[1.6899943, 0.5448497]
[0.5491753, 0.053041857]
[-0.7329035, 1.3422984]
[-1.8833784, 0.05791255]
[-0.7971353, 0.29767153]
[2.0395277, -0.4048712]
[-0.78882265, 2.9077663]
[-1.3467202, 0.053486895]
[0.4324629, 1.3074604]
[-0.3288171, 0.21381193]
[-1.1992385, 2.5037878]
[-1.1024323, 0.017540757]
[-1.8149148, -2.10717]
[1.2762365, -1.7890458]
[-0.28407842, 0.42403656]
[-0.34970155, 0.09938994]
[-1.0189449, 0.461334]
[0.7994536, 1.0844129]
[-0.9571836, -1.3411726]
[-1.449748, -0.88472337]
[-1.1496611, 1.6878986]
[-0.7506951, -1.8877764]
[0.33577403, -0.14194793]
[-0.5554516, 0.09365528]
[-0.21578035, 2.6916492]
[-0.8110879, 0.6012415]
[1.7826952, -0.9260306]
[-1.0405802, -1.5809078]
[-0.18797311, 0.26340288]
[-0.012516314, -0.34018388]
[1.710278, -0.71520865]
[-1.5843779, 0.20644729]
[-1.2309722, -1.0837313]
[-0.041372158, -1.3609918]
[0.47897348, 1.196367]
[2.2903736, 0.93009907]
[-0.32701793, 0.46439046]
[0.7685562, -0.9020511]
[0.9661553, 0.052120507]
[-0.67602736, -0.12573466]
[-0.29124397, 0.5145493]
[-0.27673453, -2.5528622]
[-1.282886, 2.6740792]
[0.55591875, -1.0322177]
[1.9179462, -0.9194736]
[-1.0300703, -1.4347156]
[-0.56174016, -1.1197419]
[-0.9846156, -0.6304772]
[1.1801395, 1.4315267]
[0.11697298, -1.9545485]
[0.7837162, 0.019466799]
[-0.14214121, -1.3957858]
[-0.14054857, 3.4525545]
[-2.3801527, 0.07072661]
[-0.14000034, 2.4587631]
[0.10260989, -3.3950686]
[-1.3735387, 0.52800155]
[0.82231253, 0.47113162]
[-0.31211603, 0.56669474]
[-1.1688255, 0.07834417]
[-0.6544298, 0.709376]
[-0.06050876, 0.26425698]
[-0.9033641, -1.585154]
[-1.7091016, -0.36478838]
[-0.28241658, -0.6358854]
[0.99183255, -0.85190934]
[0.56052095, -0.0071361973]
[-0.59316707, -0.20252323]
[0.6737278, -0.060799032]
[0.53758496, -0.017124545]
[-0.28551584, 2.601995]
[1.3844546, 1.1792336]
[-0.6224988, 1.3903055]
[0.31120926, -1.5341231]
[-0.746776, -0.90479505]
[0.24639222, -1.1617813]
[-0.9736614, 0.63490975]
[-0.38239795, 0.06233853]
[0.88638914, 0.04043404]
[-1.5081637, -0.36307737]
[-2.2706943, 1.3500291]
[-0.98253703, 0.55877]
[-0.2924995, 0.5037073]
[1.5037805, -1.121989]
[-1.5980128, 0.9036805]
[2.1713421, 0.58470523]
[-0.771226, 0.8787002]
[-2.3129609, 0.27125034]
[1.7268724, 0.46457514]
[3.0643759, -0.038196918]
[-1.4234297, 0.1372987]
[-1.2930129, -4.224182]
[0.79264313, 0.15040399]
[0.075792596, -0.9454266]
[-0.26803634, 0.40487546]
[1.1133332, 1.1656597]
[-0.24792597, -1.8863227]
[1.2263206, -0.74803823]
[0.08639972, 1.6140686]
[0.43953976, 0.3461147]
[1.3126763, -0.46055365]
[0.49827412, -0.74434394]
[-0.44790378, -0.9425811]
[-0.7138214, 0.3871301]
[-0.9297259, 0.54769415]
[0.808906, -3.1734803]
[-1.2254354, -1.9518567]
[1.3204968, -1.7614204]
[1.8382953, 0.36890188]
[-0.5378387, -0.7068697]
[-1.5156262, 0.14509551]
[1.0632772, 1.199017]
[0.45683178, 0.5584824]
[1.3702668, 1.0909173]
[0.106493995, 0.44567254]
[-0.20725934, 1.4393746]
[-0.22564946, -1.798314]
[1.3277498, -0.73082405]
[0.0557172, 2.0174136]
[-0.9099399, 0.15330072]
[1.0487369, -0.32526758]
[0.036297552, 0.37842605]
[-0.37974846, -1.0332263]
[-0.18518102, 0.27444312]
[-0.86239934, 0.5967976]
[1.8990678, 0.38533953]
[-1.3951681, -1.7551672]
[-1.5066018, -0.46147844]
[1.6236863, 0.37759125]
[0.16587855, -0.090981]
[-1.3893951, 0.30303776]
[0.35288274, -0.005192029]
[0.82061166, 0.46074048]
[-0.0019638054, 0.15381686]
[0.15164047, 0.48365095]
[-1.1042417, 0.2845529]
[-0.73191327, -1.5163233]
[-1.9864888, -1.1374184]
[0.11774299, 2.3483768]
[1.1292344, 0.2763826]
[1.6025211, -0.5896823]
[0.6083176, 1.4286281]
[-0.40551236, -1.0013415]
[0.8977303, -1.2977952]
[-0.8134225, 0.5683931]
[-0.1780765, 0.9499088]
[-1.4043758, -2.2270517]
[0.2263211, -0.16751727]
[-1.530101, 0.4168394]
[-1.8216031, 0.09605193]
[-0.8042837, -1.6493858]
[-0.3047196, -1.4999161]
[0.07449338, 2.2442617]
[0.2905399, 1.4447025]
[-0.43703508, -1.6750728]
[-2.320475, 0.21272135]
[0.60373706, 0.47352204]
[0.31043985, 0.7963878]
[-0.25527355, 0.48850963]
[-1.1835032, -1.8381876]
[0.055918507, 0.4612902]
[0.9703099, -1.4129162]
[1.6104652, 0.6209055]
[-0.11603412, 0.02684889]
[-1.5142759, -2.1287973]
[1.7046057, -0.4461168]
[0.1872532, 2.6405113]
[-0.0997217, -1.0357614]
[-0.6470773, -1.7660275]
[-1.5287399, 0.35482568]
[-0.9833141, 0.08970807]
[-0.050204426, -2.264702]
[1.6475573, 0.9563913]
[0.57566404, -0.6288864]
[-0.9694236, 0.5538586]
[1.4415408, 0.98328084]
[-0.6494042, -1.5229903]
[-0.2195251, 0.11321515]
[1.2951995, -0.48517004]
[-0.77165496, 0.15262826]
[-0.45117277, -0.9467592]
[0.43680173, 1.2759384]
[1.7943023, 1.4601939]
[0.5193449, -3.6405547]
[-0.57720155, -0.82708204]
[-0.02692605, -0.03965633]
[-0.45633647, -0.79179686]
[0.8178214, 0.29296908]
[-1.6944609, 0.6248158]
[-2.2122867, 0.02500135]
[1.4868355, -0.5334433]
[-0.5593678, 0.5791087]
[-1.2493756, -1.5095371]
[0.23431182, -1.6044337]
[-2.469757, 0.88603175]
[-0.12840529, 0.059520468]
[0.6744913, 0.50981504]
[0.576009, -0.06973609]
[-0.82894146, -1.113784]
[1.1286732, 1.0850579]
[-0.77949715, 0.2090241]
[0.39438844, -1.3609784]
[1.2674552, -0.40506166]
[-0.2624838, -1.3808814]
[0.5469057, 0.5584167]
[1.440254, 1.2474376]
[0.11951598, 0.47601947]
[-0.13715096, 1.3592101]
[-0.5825132, -1.5696797]
[0.0651572, 0.22236052]
[1.6386029, -0.7445285]
[-0.14322507, 0.9993345]
[-0.4966791, 0.34256735]
[0.37754804, -1.8259025]
[0.10251678, 2.3917644]
[-0.6598884, -2.341446]
[-0.5181784, -0.8437794]
[-0.367196, -1.7584493]
[0.5266246, 0.54455626]
[0.028572105, -1.7843977]
[-0.29692245, 0.47002718]
[-0.45297483, -2.853903]
[-0.95883894, 0.6260987]
[0.41126016, -2.1439116]
[-2.2680054, 0.8812477]
[-0.8584169, 0.2443824]
[0.7369617, 0.5065696]
[-0.65441495, 0.25866702]
[-0.2825133, -0.7095596]
[0.05849084, -2.437188]
[-1.4309564, 0.713431]
[-0.14427097, 0.28042614]
[-0.5049853, -0.7663222]
[-0.16872466, -2.9120522]
[-1.5560789, 0.84256357]
[-0.89057666, -0.07335232]
[-1.3895876, 0.63235873]
[-1.614864, -0.47427785]
[2.6413748, 0.81040335]
[0.30613574, 0.07181902]
[-0.54004574, 0.5016476]
[-0.17847212, -2.3217995]
[-1.0383532, -1.2236795]
[-0.86796415, -2.1116822]
[0.4500256, 0.48647878]
[-1.6157937, -0.045883097]
[1.3505654, -0.5261067]
[-0.9714091, 0.28093806]
[-0.5598316, -1.8294277]
[-1.2848821, -0.556893]
[-0.22955438, -0.699159]
[-0.19641355, -2.3899057]
[-0.83342844, -1.627388]
[0.43143097, -2.120603]
[0.5213151, 0.5593408]
[-0.54292417, 0.06942982]
[-0.41353735, -0.6500789]
[0.58402765, 0.08490766]
[-1.0326909, -1.2091738]
[0.31579643, -0.5883004]
[0.4486117, 0.5062612]
[-1.4691046, -0.30281967]
[-0.5645585, -1.1392223]
[0.1919574, -0.22122924]
[0.48480716, 0.5926948]
[-0.31796217, -0.10530682]
[-0.46307456, -0.7652948]
[0.2376943, 0.9627406]
[-1.2568213, -1.6719294]
[0.2963529, 0.24110378]
[0.74731815, 0.60227305]
[-0.17400168, 0.18893443]
[-0.9058234, 0.7063687]
[-1.8552289, -0.40698433]
[1.5488611, -0.62926286]
[0.09749568, 1.1034979]
[-1.5750556, 0.9042253]
[-2.020394, -0.30209768]
[1.7209003, 1.8940878]
[0.49850276, 0.115920946]
[0.35598415, 1.0982193]
[-0.37798294, -1.8215246]
[0.11704852, 2.0229926]
[-0.22223265, 0.23232272]
[0.062094413, 0.4632549]
[-1.6521803, -0.5122274]
[0.07596953, 2.017007]
[-2.122599, -0.031111615]
[-0.64834636, -1.0063789]
[0.48289862, 0.01972001]
[-0.57381886, -0.7666737]
[-1.6716311, -1.8960642]
[-0.8475432, -1.6054155]
[0.41871607, -1.8592244]
[-0.9138476, 0.77140874]
[-1.292935, 0.3654381]
[-0.044137888, 3.2809217]
[-0.6846989, 3.451516]
[-0.56969035, -1.13475]
[-0.11432179, 1.1511073]
[1.683195, -0.6623239]
[-2.237872, -1.3808728]
[-1.2422729, -1.2741041]
[1.0813812, -1.788256]
[-0.30460536, 0.49149498]
[0.06148937, -0.7788953]
[1.905884, 1.9083182]
[0.75471586, -2.5425172]
[1.6535069, 0.6024009]
[0.3649673, 1.01889]
[1.5185622, -0.6421078]
[0.6473329, 0.21141157]
[-0.966987, 0.15739103]
[0.47563553, -1.2904615]
[1.5460614, 0.5235534]
[-0.109685265, -1.2021695]
[0.13008866, 2.9014764]
[0.4325115, -1.8992666]
[-0.9938925, 0.7380074]
[1.6456566, 0.31358978]
[-1.3322861, -1.8938297]
[-0.47723836, -1.979746]
[-1.5742043, 0.8196733]
[-1.4810065, -0.5910735]
[-0.8803018, 0.5379227]
[0.15704235, -0.74656147]
[-1.5476745, 0.81152606]
[0.4723416, 0.58744144]
[1.55377, -0.6323699]
[-1.3581775, 0.088221096]
[1.0201598, 0.9308584]
[-0.048093036, 0.42176262]
[3.0408034, 1.7593712]
[-2.2928581, -0.182253]
[-2.385875, 0.80034584]
[-0.86637604, 0.40417776]
[0.61002064, 0.5325708]
[2.3314328, 0.25958738]
[-0.81955016, -0.24068162]
[0.4987092, -1.6688311]
[-0.5699911, -1.5110757]
[1.3539418, 0.48380268]
[-0.26336202, 3.0340323]
[1.4591695, 0.2532866]
[0.553929, 1.20512]
[-3.0756695, 0.6851383]
[-0.37057802, -0.60967517]
[0.521668, -0.35454533]
[-0.7048262, 0.72667605]
[-0.25356045, 1.1861686]
[-0.72629154, -0.82285]
[0.23223221, 0.1690109]
[2.4944124, 2.0150867]
[-0.049445678, 1.3888606]
[-2.0720234, 1.2781614]
[0.71306604, -0.0792645]
[0.6461865, 0.3698837]
[-1.9623191, -2.4009824]
[-0.26093084, 0.3408868]
[-0.6778818, 0.20823383]
[-0.696763, 2.4677927]
[-0.6115049, -2.1275485]
[-0.76133883, 1.106917]
[-2.2438576, -0.18811366]
[-0.8331201, 0.765929]
[-0.1815007, -0.0018453291]
[-1.0862017, 1.5126928]
[0.8592766, -0.6589924]
[2.2939754, 3.9186683]
[0.00935107, 0.22348252]
[-1.9544476, 2.2643628]
[-1.3526574, 0.6277347]
[0.8122815, 0.5260824]
[1.6968637, 0.05873775]
[-0.072370626, 0.3928417]
[0.04109332, 1.0526534]
[-1.0507439, 1.2491391]
[2.1793523, -1.2510257]
[-0.93567413, 0.50063103]
